City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Makakilo City,US,82.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
70,Simoes,BR,70.59,clear sky,-7.5989,-40.8178,Hotel Ponto Certo
73,Hargeysa,SO,66.47,clear sky,9.56,44.065,City Center Hotel
77,Arrecife,ES,69.78,broken clouds,28.963,-13.5477,Hotel Lancelot
79,Namibe,AO,65.21,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
83,Luganville,VU,82.45,moderate rain,-15.5333,167.1667,The Espiritu Hotel
84,Butaritari,KI,82.44,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
87,Katsuura,JP,76.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
89,Norman Wells,CA,86.04,smoke,65.282,-126.8329,Heritage Hotel
90,Bethel,US,75.54,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
91,Mandan,US,82.81,clear sky,46.8267,-100.8896,Twin City Estates
92,Fort Myers Beach,US,82.45,clear sky,26.452,-81.9481,Lani Kai Island Resort
93,Jumla,NP,69.66,broken clouds,29.2747,82.1838,Royal Garden Hotel
94,Kulhudhuffushi,MV,82.35,overcast clouds,6.6221,73.07,Haajy Guest House 1
99,Westminster,US,69.66,scattered clouds,39.8367,-105.0372,Hampton Inn Denver-Northwest/Westminster
103,Carnarvon,AU,66.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
105,Ambulu,ID,79.09,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
107,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
108,Zhigansk,RU,65.34,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
111,Lata,PT,67.08,clear sky,40.1629,-8.3327,Casa Maquia
112,Vila Franca Do Campo,PT,68.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
113,Dauphin,CA,66.34,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
115,Knokke-Heist,BE,66.02,overcast clouds,51.3333,3.3333,Hotel Reserve
116,Conceicao Do Araguaia,BR,76.14,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
117,Sur,OM,80.6,moderate rain,22.5667,59.5289,Sur Plaza Hotel
118,Shingu,JP,80.19,broken clouds,33.7333,135.9833,Shingu UI Hotel
119,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
