City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Srednekolymsk,RU,67.45,153.6833,61.86,39,99,11.65,overcast clouds
140,Akhtubinsk,RU,48.2795,46.1722,66.13,43,0,4.27,clear sky
141,San Quintin,MX,30.4833,-115.95,67.96,80,31,16.4,scattered clouds
142,Pineto,IT,42.6097,14.066,76.08,58,75,6.53,broken clouds
143,Chumikan,RU,54.7183,135.315,70.3,74,50,9.35,scattered clouds
144,Orlik,RU,52.5178,99.825,56.07,66,100,3.44,overcast clouds
145,Moussoro,TD,13.6408,16.4901,83.84,55,8,10.58,clear sky
146,Bairiki,KI,1.3292,172.9752,87.8,66,75,16.11,broken clouds
147,Arraial Do Cabo,BR,-22.9661,-42.0278,70.09,86,0,24.11,clear sky
148,Barrow,US,71.2906,-156.7887,47.79,83,100,10.47,overcast clouds
149,Mawlaik,MM,23.6333,94.4167,85.78,71,2,1.63,clear sky
150,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,52,20,8.05,few clouds
151,Bogorodskoye,RU,56.55,37.8833,64.71,94,99,7.87,light rain
152,Emilio Carranza,MX,19.9711,-96.6114,79.79,82,37,7.45,scattered clouds
153,Mana,GF,5.6592,-53.7767,77.41,83,86,9.08,overcast clouds
154,Juneau,US,58.3019,-134.4197,68.85,75,98,1.36,overcast clouds
155,Cherskiy,RU,68.75,161.3,56.46,48,96,8.32,overcast clouds
156,Melilla,ES,35.2937,-2.9383,73.78,94,75,3.44,broken clouds
157,Hambantota,LK,6.1241,81.1185,82.74,74,20,9.22,few clouds
158,Port Alfred,ZA,-33.5906,26.891,59.67,72,0,8.55,clear sky
159,Thompson,CA,55.7435,-97.8558,69.96,43,100,9.22,overcast clouds
160,Soroti,UG,1.7146,33.6111,61.57,77,17,4.12,few clouds
161,Willowmore,ZA,-33.2926,23.4895,45.36,61,0,5.64,clear sky
162,Bosansko Grahovo,BA,44.1794,16.3639,61.65,57,0,6.31,clear sky
163,Isangel,VU,-19.55,169.2667,84.31,70,75,5.75,broken clouds
164,Bundaberg,AU,-24.85,152.35,69.22,67,1,5.01,clear sky
165,Edgewater,US,28.9889,-80.9023,80.1,83,7,9.13,clear sky
166,Skegness,GB,53.1436,0.3363,62.67,75,100,17.0,overcast clouds
167,Kijang,KR,35.2442,129.2139,85.73,77,96,11.41,overcast clouds
168,Dong Xoai,VN,11.5333,106.9167,81.46,87,100,5.32,overcast clouds
169,Saldanha,ZA,-33.0117,17.9442,41.05,85,4,9.26,clear sky
170,Rocky Mount,US,35.9382,-77.7905,82.11,83,40,6.91,light rain
171,Ballina,AU,-28.8667,153.5667,70.79,74,99,11.59,overcast clouds
172,Mecca,SA,21.4267,39.8261,85.8,26,100,5.99,overcast clouds
173,Benidorm,ES,38.5382,-0.131,76.48,73,0,5.99,clear sky
174,Saint-Louis,SN,16.3333,-15.0,78.93,65,0,15.9,clear sky
175,Fengzhen,CN,40.4394,113.1536,80.02,28,0,6.42,clear sky
176,Boulder,US,40.0833,-105.3505,63.21,85,0,8.05,clear sky
177,Mayumba,GA,-3.432,10.6554,70.02,89,99,4.12,overcast clouds
178,Mezen,RU,65.8522,44.24,61.52,74,100,5.37,overcast clouds
179,Upernavik,GL,72.7868,-56.1549,40.28,83,7,1.34,clear sky
180,Weinan,CN,34.5036,109.5089,90.9,39,0,4.5,clear sky
181,Araouane,ML,18.9048,-3.5265,95.45,21,37,9.82,scattered clouds
182,Xuanzhou,CN,30.9525,118.7553,90.54,64,14,6.98,few clouds
183,Goderich,CA,43.7501,-81.7165,65.91,88,8,11.43,clear sky
184,Kutum,SD,14.2,24.6667,80.13,42,43,6.78,scattered clouds
185,Elblag,PL,54.1522,19.4088,57.94,91,48,7.54,scattered clouds
186,Darhan,MN,49.4867,105.9228,62.01,81,100,9.4,overcast clouds
187,Port-Gentil,GA,-0.7193,8.7815,72.82,86,51,12.93,broken clouds
188,Natal,BR,-5.795,-35.2094,73.62,100,75,9.22,moderate rain
189,Haines Junction,CA,60.7522,-137.5108,77.22,34,43,7.99,scattered clouds
190,Donegal,IE,54.65,-8.1167,56.16,92,99,6.67,overcast clouds
